Time(ND) X(ND) Y(ND) Z(ND) VX(ND) VY(ND) VZ(ND)
2.628887348709340044e-01 7.375425791827402988e-02 -1.459484267181888027e-02 2.282559571631634799e-03 5.011915828507018666e+00 1.710653830794697905e+00 7.921548756881621745e-02
2.636554850143292827e-01 7.750536895869353238e-02 -1.328189627284436826e-02 2.340500340068185550e-03 4.848561669861575218e+00 1.739646152607944973e+00 7.315373879160663728e-02
2.644902960864835006e-01 8.145518403699267274e-02 -1.183103314855989650e-02 2.398681955736144036e-03 4.687674625369895764e+00 1.762338196065042606e+00 6.737349948658311050e-02
2.653922072903974194e-01 8.558035610034697704e-02 -1.024604040808960170e-02 2.456515277094062800e-03 4.530822023435458590e+00 1.778880457508514867e+00 6.191613580613126999e-02
2.663604488655597069e-01 8.986076611663457170e-02 -8.531417147727074837e-03 2.513528192899715415e-03 4.379101830505384818e+00 1.789631130456832420e+00 5.680177075232183126e-02
2.674009213912850735e-01 9.430652231289113341e-02 -6.680559068962028772e-03 2.569683933914941164e-03 4.232361391416360696e+00 1.795085685685959165e+00 5.200707242071615777e-02
2.685198083318330320e-01 9.892722014304744516e-02 -4.686887081189924399e-03 2.624919781166908800e-03 4.090483377307055690e+00 1.795685719169393790e+00 4.751173430902606160e-02
2.697238492178429259e-01 1.037330274338268687e-01 -2.543459088602522972e-03 2.679161494709271160e-03 3.953347243939804745e+00 1.791829015753115151e+00 4.329690986025778315e-02
2.710203310304438729e-01 1.087344934646928690e-01 -2.430868663084913023e-04 2.732320219964203423e-03 3.820837239722367329e+00 1.783874455287807415e+00 3.934528091643831049e-02
2.724171676856605995e-01 1.139427133979066531e-01 2.221693587915077577e-03 2.784293613153535508e-03 3.692839017780590538e+00 1.772146376597058204e+00 3.564078856396259848e-02
2.739229413807806601e-01 1.193693225070238950e-01 4.858572037636951953e-03 2.834964831507907814e-03 3.569241328315169604e+00 1.756938309069564275e+00 3.216854816922926769e-02
2.755469821414617271e-01 1.250266186913458477e-01 7.675467573179196867e-03 2.884202678222908597e-03 3.449934508325010363e+00 1.738515919964291001e+00 2.891469037092772934e-02
2.772994151025017784e-01 1.309275511140969572e-01 1.068045973591879270e-02 2.931860312622218152e-03 3.334812179366994034e+00 1.717119867707325165e+00 2.586630998926835526e-02
2.791912606774578642e-01 1.370858772185729324e-01 1.388179327403490926e-02 2.977775290968738900e-03 3.223769409444582568e+00 1.692967776820366366e+00 2.301133123902092750e-02
2.812344819043930966e-01 1.435161233877391973e-01 1.728777169772721320e-02 3.021767840966035380e-03 3.116704864631249183e+00 1.666256613797942432e+00 2.033849101758297001e-02
2.834421140494834956e-01 1.502337971862132138e-01 2.090676696534192122e-02 3.063640891210871881e-03 3.013518417185688580e+00 1.637163868699683889e+00 1.783721378769379667e-02
2.858283266937618472e-01 1.572553621837196602e-01 2.474708882127172466e-02 3.103178199653313252e-03 2.914113063731831321e+00 1.605849489128985397e+00 1.549760483933550551e-02
2.884085386995550726e-01 1.645983646011113521e-01 2.881691380353073456e-02 3.140143453586612902e-03 2.818394207568510890e+00 1.572457060057143474e+00 1.331038294624282102e-02
2.911995478723884978e-01 1.722815762823049768e-01 3.312420241994528530e-02 3.174279167749966164e-03 2.726269069923799027e+00 1.537114757051935676e+00 1.126682472614327392e-02
2.942196165450802203e-01 1.803249962679873142e-01 3.767651081436668159e-02 3.205304785557127559e-03 2.637647894867305887e+00 1.499936853792916969e+00 9.358754322251168836e-03
2.974886569915605183e-01 1.887501077695338814e-01 4.248091484738684975e-02 3.232915780503536635e-03 2.552442128664395682e+00 1.461023981410719985e+00 7.578470455620449700e-03
3.010283491906722286e-01 1.975799248862633029e-01 4.754378131056732210e-02 3.256781634122425401e-03 2.470565245707176061e+00 1.420464296821313477e+00 5.918736909420236995e-03
3.048623377622280417e-01 2.068392233923740386e-01 5.287060258783470718e-02 3.276544311664048893e-03 2.391931676173824517e+00 1.378333768141330795e+00 4.372736285191010028e-03
3.090163463983502945e-01 2.165545450266031235e-01 5.846565447055768194e-02 3.291816017579331580e-03 2.316457828762785276e+00 1.334697467183656006e+00 2.934069659163041077e-03
3.135184212206448828e-01 2.267544957342844392e-01 6.433176911779399376e-02 3.302177553403993094e-03 2.244060497127477571e+00 1.289609493955760744e+00 1.596707336579438309e-03
3.183990707760231964e-01 2.374697748773158534e-01 7.046989259697516994e-02 3.307176073598138213e-03 2.174657459408222415e+00 1.243114094351898569e+00 3.549857949435011525e-04
3.236917109531523562e-01 2.487338469403249097e-01 7.687893990537147948e-02 3.306323012076157249e-03 2.108163901725303546e+00 1.195243988256808665e+00 -7.964669670106635070e-04
3.294325945596974226e-01 2.605824541241380521e-01 8.355490595469101944e-02 3.299091391487706058e-03 2.044496265332113705e+00 1.146023719788996198e+00 -1.862670355748452045e-03
3.356613684420277632e-01 2.730544584686842580e-01 9.049064488827845976e-02 3.284913410388706507e-03 1.983567654597388819e+00 1.095467276303843773e+00 -2.848376452166404699e-03
3.424211084412790429e-01 2.861915435248971740e-01 9.767490095502272263e-02 3.263178160295302031e-03 1.925289774673659471e+00 1.043580513067539073e+00 -3.758038929617540502e-03
3.497537448123152481e-01 3.000293911086117093e-01 1.050867419089138027e-01 3.233251444498578490e-03 1.869605989309527816e+00 9.903955428405728512e-01 -4.595329514973965808e-03
3.576960331181631148e-01 3.145913323364523673e-01 1.126919300272534868e-01 3.194515038439226396e-03 1.816496158809018269e+00 9.359901261687249008e-01 -5.363170363380439024e-03
3.662989242004503487e-01 3.299242006456111764e-01 1.204611509714276080e-01 3.146280379190223922e-03 1.765840145739314027e+00 8.803519101498130661e-01 -6.065708628674829593e-03
3.756170834718322027e-01 3.460773135282605995e-01 1.283573388191593390e-01 3.087818033740886807e-03 1.717513397305712175e+00 8.234629893078355689e-01 -6.706798275058169743e-03
3.857093475200962240e-01 3.631028952081279959e-01 1.363346963179248861e-01 3.018356096939024333e-03 1.671383361320726513e+00 7.652987182493885543e-01 -7.290047272399309726e-03
3.966393010523294183e-01 3.810565529738220714e-01 1.443375702798294635e-01 2.937077028404542350e-03 1.627306226195526895e+00 7.058264212271938565e-01 -7.818850701969110029e-03
4.084752895594032096e-01 3.999966791130352139e-01 1.522986736241832284e-01 2.843118403758376940e-03 1.585126258487375761e+00 6.450075882127932481e-01 -8.296386367394230701e-03
4.212909905140366229e-01 4.199846492235719264e-01 1.601375276976872986e-01 2.735569974296126177e-03 1.544672475439477166e+00 5.827970624367478925e-01 -8.725640011080693439e-03
4.351655426021101003e-01 4.410841198361349358e-01 1.677583532235539521e-01 2.613474281238042582e-03 1.505756899683166727e+00 5.191448125459229290e-01 -9.109407687794016106e-03
4.501837692211396180e-01 4.633602889820280790e-01 1.750478289916608532e-01 2.475827172651468965e-03 1.468171959331942444e+00 4.539972012118759226e-01 -9.450305714603108448e-03
4.664367663513809825e-01 4.868794212209302530e-01 1.818727689042104190e-01 2.321575295672510548e-03 1.431686804229161503e+00 3.872969044914977843e-01 -9.750786835245892417e-03
4.840220777634337002e-01 5.117073943801058178e-01 1.880772836459313202e-01 2.149617552889805921e-03 1.396044641883624982e+00 3.189850031323039903e-01 -1.001314265160129988e-02
5.030438431478270189e-01 5.379078123317374560e-01 1.934796997127934681e-01 1.958807556999037948e-03 1.360959787261502019e+00 2.490032066161209923e-01 -1.023950710315067909e-02
5.236135246863208303e-01 5.655403912817557055e-01 1.978693477762802355e-01 1.747950846228365877e-03 1.326113643830134636e+00 1.772941109516688318e-01 -1.043186341557269213e-02
5.458499496436318710e-01 5.946577336827305604e-01 2.010027830133563898e-01 1.515809513818245236e-03 1.291152283034806558e+00 1.038041550794838314e-01 -1.059203473928565890e-02
5.698812080408700576e-01 6.253037162202215171e-01 2.025998362021435573e-01 1.261088465726194641e-03 1.255681714456286180e+00 2.848027484322832384e-02 -1.072167599550259177e-02
5.958457263878992327e-01 6.575096188563127608e-01 2.023385944934116276e-01 9.824311999442122013e-04 1.219266148928970450e+00 -4.873069719787619797e-02 -1.082222769646142869e-02
6.238970007761096559e-01 6.912933481167082839e-01 1.998490445022081397e-01 6.783791859276520767e-04 1.181423632929565537e+00 -1.278951093387117044e-01 -1.089483153664994736e-02
