Time(ND) X(ND) Y(ND) Z(ND) VX(ND) VY(ND) VZ(ND)
1.015735436508631920e-02 1.017192542788760035e+00 -7.244831054375710502e-04 8.310838024597246303e-05 1.585146516940081629e-01 1.483576832911345678e+00 -1.861339572668699593e-01
1.044207558563959616e-02 1.017228363901131916e+00 -3.005934944133994220e-04 2.988168339734167397e-05 3.238893758871035089e-02 1.494016936856823907e+00 -1.877533882834821199e-01
1.072685206192672096e-02 1.017228204739450081e+00 1.248475639356870536e-04 -2.362618559415361884e-05 -9.419760516208092183e-02 1.493916443205916655e+00 -1.880391533178200347e-01
1.101187408772536999e-02 1.017192012026057357e+00 5.491198649837578365e-04 -7.707064603867866805e-05 -2.204352494299212928e-01 1.483260488155353496e+00 -1.869874493984382269e-01
1.129727719712055045e-02 1.017119908915063098e+00 9.694148654809992991e-04 -1.300955913918522852e-04 -3.454880205592279485e-01 1.462085926381097467e+00 -1.846010255138395284e-01
1.158325749431072041e-02 1.017012180753824158e+00 1.383010631038873771e-03 -1.823554466616459139e-04 -4.685457583492875777e-01 1.430477133604441065e+00 -1.808887741058942122e-01
1.186996208820581891e-02 1.016869302306284473e+00 1.787114649547814861e-03 -2.334953598524316660e-04 -5.887773562930466165e-01 1.388573995035617736e+00 -1.758666324301327577e-01
1.215755252492626247e-02 1.016691928634829045e+00 2.178963254089239139e-03 -2.831637508801103267e-04 -7.053603508515241538e-01 1.336569214261100313e+00 -1.695573113539517174e-01
1.244629418626042733e-02 1.016480821009170254e+00 2.555938815824802899e-03 -3.310272314168882161e-04 -8.175157934356531708e-01 1.274686588268463705e+00 -1.619876270183927547e-01
1.273561617587258554e-02 1.016237636982117554e+00 2.914409520583695259e-03 -3.766230483014217025e-04 -9.241630814716498277e-01 1.203412557834786067e+00 -1.532169966574198350e-01
1.302215876394883370e-02 1.015967300834476283e+00 3.247870817227497403e-03 -4.191206372176458760e-04 -1.023367101057510054e+00 1.124190687033184810e+00 -1.434240091536589656e-01
1.330679553354616358e-02 1.015671623603489060e+00 3.555507761090119598e-03 -4.584119214281004722e-04 -1.114885538562960354e+00 1.037551876472299295e+00 -1.326757356793488440e-01
1.358976279214795142e-02 1.015352936761714675e+00 3.835871777045783866e-03 -4.943082909201142227e-04 -1.198287628979779029e+00 9.441794849024802705e-01 -1.210581266647788867e-01
1.387155068817745932e-02 1.015013269055630163e+00 4.087893065221697396e-03 -5.266696160942671914e-04 -1.273255337097956685e+00 8.446681021286535085e-01 -1.086461889445477780e-01
1.415231773886334310e-02 1.014655024631875513e+00 4.310302234547981094e-03 -5.553301569309832203e-04 -1.339411299970179936e+00 7.397222284383826452e-01 -9.552871419378117235e-02
1.443227728508030515e-02 1.014280571278176390e+00 4.502032242507255158e-03 -5.801499455520876553e-04 -1.396438389499765398e+00 6.300356246436251695e-01 -8.179328879509072114e-02
1.471158500526485724e-02 1.013892379770378493e+00 4.662124544363717427e-03 -6.010027178488269338e-04 -1.444051787345225657e+00 5.163321331960532001e-01 -6.753138596901392399e-02
1.499028409958461094e-02 1.013493114138600770e+00 4.789735063141437217e-03 -6.177765158124654422e-04 -1.482000756723013568e+00 3.993921100606599439e-01 -5.284170145591713524e-02
1.526862258395507085e-02 1.013085173460222643e+00 4.884287251917513069e-03 -6.303937775111483803e-04 -1.510114152772971785e+00 2.799182215646122684e-01 -3.781329268250747250e-02
1.554670715286434780e-02 1.012671176125523376e+00 4.945293007132107316e-03 -6.387879279800367073e-04 -1.528247154489305482e+00 1.586772874952813717e-01 -2.254337652089397417e-02
1.582464739886104907e-02 1.012253754025792984e+00 4.972441206461512136e-03 -6.429148997770943756e-04 -1.536307590180837401e+00 3.644000091433587801e-02 -7.129763840953997310e-03
1.610255004312520152e-02 1.011835552983112008e+00 4.965596014771114092e-03 -6.427529211835343072e-04 -1.534255427132607430e+00 -8.601894103850574180e-02 8.329131742485614692e-03
1.638052759000284062e-02 1.011419211833340492e+00 4.924796592508366537e-03 -6.383025153337012645e-04 -1.522102678850933755e+00 -2.079269566369374989e-01 2.373507316203881876e-02
